temperature_C,humidite_pct,ph_sol,conductivite_EC,debit_eau_L,pression_bar,stade_num,jours_sans_zinc,jours_sans_calcium,jours_sans_fer,jours_sans_magnesium,jours_sans_azote,jours_sans_potassium,jours_sans_bore,jours_sans_manganese,jours_sans_phosphore,risque_id,risque_label
33.68398958949622,52.502280037082194,6.7275243016973,2.0752923884965133,3.3992964729355877,1.5023572291468552,5,23,6,4,2,7,5,1,1,5,1,Carence Zinc
41.0860721731196,40.52890317168322,7.602922485900472,2.4445920089333844,2.8862769887450486,1.072206307206483,4,7,7,5,5,3,1,2,4,1,10,Stress Thermique
10.0,84.77670146498771,8.507542323689842,0.3,3.822874866672159,1.3633267343304865,4,4,30,1,3,2,7,0,0,4,2,Carence Calcium (Nécrose)
23.198700891638882,65.70415924105494,5.638864911979524,2.755547663631279,3.4725226242505394,1.5674890621919748,3,4,2,0,2,3,4,6,7,7,11,Surdosage Engrais
20.34550886632506,48.43937222241778,7.507382782653223,1.1129075871527823,3.6763834886083866,1.1018709130472937,2,2,3,3,4,2,6,2,25,3,9,Carence Manganèse
29.34967190646843,63.127832422573135,8.304073066958846,1.3560299417156438,3.767625232968318,1.1571396326310566,3,7,0,7,31,4,1,6,2,0,5,Carence Magnésium
13.377814388716708,75.75887707611922,7.7308559534873265,1.059946196178724,2.0614900542259207,1.059841324721996,2,4,20,5,1,0,0,2,0,2,2,Carence Calcium (Nécrose)
28.968116453026475,90.85028453407104,7.787744494760156,2.5307188550989794,2.3560136452316818,1.308725983935306,3,3,3,5,26,4,3,6,4,2,5,Carence Magnésium
27.996968081192016,44.73286118395444,7.971718443067432,1.1202066701706284,3.14354017353341,1.4631857673327646,4,3,5,0,6,1,1,3,6,22,4,Carence Phosphore
29.63014614096018,63.51601339048044,7.416274591425381,1.068327367630309,2.852471319759647,1.1542432402642924,5,1,0,7,4,3,5,3,1,5,0,Normal
26.012344225625682,84.94603942177352,7.113652295714383,1.151287501572101,3.686340158346675,0.9227391790363626,4,2,7,4,1,5,0,6,3,31,4,Carence Phosphore
33.24990507525052,45.21924978435182,7.115117986122476,3.5947901410734087,3.425942925706709,1.3400380554644855,3,4,4,7,7,6,3,3,5,0,11,Surdosage Engrais
27.739935862522444,50.02790206872386,7.255157800412691,1.8226593560617061,5.018621900575491,1.6294688240015756,1,0,0,4,6,0,4,30,1,6,8,Carence Bore
35.2674041338158,28.860243706483345,7.723214751145917,2.3157746917848208,3.1289644493759723,0.9975740515582381,3,5,1,4,5,3,6,4,4,37,4,Carence Phosphore
